,nombre,apellidos,nombreApellidos,movil,codigoPostal,pass,fotoMiembro,fechaInscripcion
0,Esteban,Segura,Esteban Segura,604666433,22336,15931002,miembroh3.png,16/05/2022
1,Wálter,Díaz,Wálter Díaz,692146083,41339,48704007,miembroh3.png,21/04/2022
2,Julieta,Pozo,Julieta Pozo,670338882,24224,35134451,opinion3m.png,05/07/2020
3,Lupita,Olmo,Lupita Olmo,601176618,46369,35883850,opinion3m.png,08/03/2021
4,Toribio,Vendrell,Toribio Vendrell,699110621,41849,39633634,opinion1.png,26/11/2020
5,Nereida,Canet,Nereida Canet,676025998,09248,29583274,opinion2m.png,27/02/2020
6,Berta,Carrión,Berta Carrión,651838152,34874,19444040,miembrom4.png,17/12/2021
7,Cecilio,Sarmiento,Cecilio Sarmiento,637952259,15830,25129193,opinion4.png,12/09/2021
8,Juan José,Asensio,Juan José Asensio,634033376,46450,41984558,miembrom4.png,18/06/2019
9,Genoveva,Fuente,Genoveva Fuente,641957795,48419,78837977,opinion5m.png,31/03/2020
10,Nico,Gras,Nico Gras,632197964,08779,50041982,opinion6.png,05/10/2019
11,Martin,Frías,Martin Frías,641509246,07430,53869679,miembrom4.png,27/10/2020
12,Gaspar,Chico,Gaspar Chico,622618789,01128,60524737,miembrom4.png,29/06/2020
13,Gonzalo,Oliver,Gonzalo Oliver,675164743,04660,67182469,miembrom3.png,05/06/2022
14,Rafael,Redondo,Rafael Redondo,630804951,33836,82739885,miembroh1.png,31/05/2022
15,Perlita,Galvez,Perlita Galvez,694045616,37799,24442020,opinion5m.png,09/05/2020
16,Samuel,Serra,Samuel Serra,638016195,17470,65810923,opinion1.png,09/08/2019
17,Catalina,Llorens,Catalina Llorens,610847681,03679,66725122,miembrom4.png,11/06/2020
18,Valentina,Perez,Valentina Perez,690675688,17154,23813693,opinion5m.png,12/08/2021
19,Felipe,Casanova,Felipe Casanova,639627359,17245,65281182,opinion5m.png,24/09/2020
20,Geraldo,Adán,Geraldo Adán,698716728,34487,70008004,miembrom4.png,21/04/2020
21,Elisa,Priego,Elisa Priego,668106211,35423,13228183,miembroh1.png,17/04/2022
22,Eusebio,Cámara,Eusebio Cámara,602649136,31487,81575411,opinion1.png,24/08/2020
23,Guadalupe,Diego,Guadalupe Diego,675829354,20159,40481732,opinion2m.png,24/06/2021
24,Prudencia,Amo,Prudencia Amo,630131737,49630,69656911,opinion2m.png,23/12/2020
25,Xiomara,Gálvez,Xiomara Gálvez,694781177,26121,63254365,opinion1.png,28/11/2019
26,Victorino,Ponce,Victorino Ponce,617099161,45140,19306488,opinion1.png,27/12/2020
27,Edmundo,Badía,Edmundo Badía,604458363,14199,55906062,miembroh1.png,25/07/2021
28,Emelina,Huertas,Emelina Huertas,617509323,34002,81667816,miembroh1.png,06/07/2021
29,Liliana,Manjón,Liliana Manjón,613559154,47492,56559626,miembrom4.png,08/03/2021
30,Jenny,Nevado,Jenny Nevado,607304091,27744,51225268,miembroh1.png,08/12/2020
31,Belén,Nuñez,Belén Nuñez,665423020,44430,35252375,opinion5m.png,13/09/2021
32,Candela,Parejo,Candela Parejo,648356794,30708,24103938,opinion5m.png,10/08/2019
33,Alondra,Querol,Alondra Querol,638440723,49640,59763458,miembrom4.png,12/11/2020
34,María,Barrio,María Barrio,695196561,33950,43118276,miembroh3.png,12/03/2020
35,Odalys,Cadenas,Odalys Cadenas,676278827,18530,43328902,miembrom4.png,03/06/2022
36,Tania,Marín,Tania Marín,623464142,04743,46555716,opinion1.png,27/07/2020
37,Florinda,Rovira,Florinda Rovira,677406517,31395,51256787,opinion5m.png,15/02/2021
38,José Antonio,Heredia,José Antonio Heredia,673570771,19246,82682486,miembroh3.png,26/08/2020
39,Rebeca,Ruiz,Rebeca Ruiz,638216391,25692,48875035,opinion6.png,04/04/2021
40,María Fernanda,Vilanova,María Fernanda Vilanova,679934897,19219,41102951,opinion4.png,08/06/2021
41,Nicolasa,Uriarte,Nicolasa Uriarte,642420749,30590,81580742,opinion3m.png,08/05/2021
42,Valeria,Izquierdo,Valeria Izquierdo,650904481,34128,56638832,opinion1.png,05/09/2019
