,nombre,apellidos,nombreApellidos,movil,codigoPostal,pass,perfil,serviciosDisponibles,status,fotoV,bio,fechaInscripcion,estrellas,nOpinion
0,Feliciana,Cantón,Feliciana Cantón,694747145,40331,44349840,Voluntario,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",1,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,19/11/2019,5.0,1
1,Amador,Llopis,Amador Llopis,607054985,44587,23964109,Voluntario,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",1,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",28/05/2020,2.0,1
2,Jose Ignacio,Godoy,Jose Ignacio Godoy,682114060,22612,81577056,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",1,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",10/02/2020,3.0,1
3,Emilio,Calatayud,Emilio Calatayud,640282913,37800,30558301,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",1,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,02/09/2020,5.0,1
4,Inmaculada,Bonet,Inmaculada Bonet,640233560,40215,16325875,Voluntario,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",19/03/2020,1.0,1
5,Dominga,Roca,Dominga Roca,699473870,32720,52032135,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",14/02/2022,1.0,1
6,Amílcar,Andrés,Amílcar Andrés,685229691,48901,43682168,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio']",0,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,22/05/2020,5.0,1
7,Ciro,Gil,Ciro Gil,690660156,17469,72701581,Voluntario,"['Salud', 'El día a día', 'Servicios del Municipio']",1,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",06/12/2021,2.0,1
8,Joan,Vazquez,Joan Vazquez,638142941,25192,69344357,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",0,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,01/03/2021,3.0,1
9,Eligia,Amor,Eligia Amor,657614171,29010,77216346,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,01/07/2019,2.0,1
10,Chelo,Flor,Chelo Flor,619887239,36677,35587026,Ambos,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,09/06/2019,5.0,1
11,Lilia,Rivas,Lilia Rivas,699875435,17430,81871477,Voluntario,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,04/07/2021,1.0,1
12,Isidro,Sanchez,Isidro Sanchez,614304749,24225,54967928,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",0,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,07/10/2020,2.0,1
