,Nombre,Apellidos,Nombre y Apellidos,Móvil,Código Postal,Pass,Perfil,Servicios Disponibles,Status,FotoV,Bio,Fecha inscripción,Estrellas,N_opinion
0,Feliciana,Cantón,Feliciana Cantón,645488416,30710,72964310,Voluntario,['Burocracia'],0,hombre2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,26/09/2019,1.0,1
1,Amador,Llopis,Amador Llopis,698809787,34878,49176191,Voluntario,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,09/10/2020,3.0,1
2,Jose Ignacio,Godoy,Jose Ignacio Godoy,669113204,49590,19727673,Ambos,"['El día a día', 'Burocracia']",0,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,22/12/2020,5.0,1
3,Emilio,Calatayud,Emilio Calatayud,617341548,19192,16009792,Ambos,"['Nuevas Tecnologías', 'Servicios del Municipio']",1,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,02/11/2020,3.0,1
4,Inmaculada,Bonet,Inmaculada Bonet,639126490,03292,81716677,Voluntario,['Nuevas Tecnologías'],1,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,26/04/2020,1.0,1
5,Dominga,Roca,Dominga Roca,660102036,15165,53362792,Ambos,"['Salud', 'El día a día', 'Servicios del Municipio']",1,mujer1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,27/03/2020,2.0,1
6,Amílcar,Andrés,Amílcar Andrés,616197876,24235,53145749,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,mujer2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,12/10/2021,1.0,1
7,Ciro,Gil,Ciro Gil,662404557,05358,51869905,Voluntario,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",26/08/2021,2.0,1
8,Joan,Vazquez,Joan Vazquez,623277038,50139,55135800,Ambos,"['El día a día', 'Burocracia']",1,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,28/11/2021,2.0,1
9,Eligia,Amor,Eligia Amor,670753979,47329,15272995,Ambos,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",1,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,08/07/2020,1.0,1
10,Chelo,Flor,Chelo Flor,639818751,36990,61957457,Ambos,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",14/02/2021,3.0,1
11,Lilia,Rivas,Lilia Rivas,670975077,36500,46970733,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,22/05/2021,5.0,1
12,Isidro,Sanchez,Isidro Sanchez,609119187,30192,78034940,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",0,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,29/04/2020,5.0,1
13,Dolores,Lobo,Dolores Lobo,636407280,01128,28014252,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",0,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,11/02/2020,1.0,1
14,Nydia,Agudo,Nydia Agudo,652017352,23569,44129670,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,06/10/2020,5.0,1
15,Martina,Cuervo,Martina Cuervo,688400235,46842,55138296,Ambos,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,07/05/2021,2.0,1
16,José,Rocamora,José Rocamora,643692376,24248,57136779,Voluntario,"['Salud', 'Amigos y Ocio']",1,hombre1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,03/11/2021,4.0,1
17,Noé,Cortés,Noé Cortés,691034867,44393,48927090,Voluntario,"['Amigos y Ocio', 'El día a día']",1,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,02/12/2020,3.0,1
